t,x,cp,cn,phi
0.01999,0.14,1.0529079537688233,0.9444853669975131,-0.3580338510972384
0.01999,0.15,1.0481992854730966,0.9488328102669896,-0.34801306393687664
0.01999,0.16,1.0438358302795456,0.9529208710038449,-0.33800220760778943
0.01999,0.17,1.0397995677650371,0.9567575295981693,-0.32800043719350364
0.01999,0.18,1.0360727678083947,0.9603511731542231,-0.31800696564034225
0.01999,0.19,1.0326380383826765,0.9637105355117495,-0.3080210611444938
0.01999,0.2,1.029478370288221,0.9668446372653927,-0.29804204453825284
0.01999,0.21,1.0265771784034659,0.969762726385284,-0.2880692866859095
0.01999,0.22,1.0239183390946927,0.9724742200126605,-0.27810220589936463
0.01999,0.23,1.0214862234915167,0.9749886479684688,-0.2681402653830389
0.01999,0.24,1.019265726400863,0.977315598471185,-0.2581829707170575
0.01999,0.25,1.0172422906972383,0.9794646665135678,-0.24822986738704128
0.01999,0.26,1.0154019270902,0.9814454052978245,-0.23828053836810947
0.01999,0.27,1.0137312292301082,0.9832672810757666,-0.22833460176992612
0.01999,0.28,1.01221738416966,0.9849396316860355,-0.2183917085488275
0.01999,0.29,1.0108481782506324,0.9864716290254529,-0.20845154029222038
0.01999,0.3,1.0096119985321539,0.9878722456369587,-0.1985138070795929
0.01999,0.31,1.0084978299182603,0.9891502255433772,-0.1885782454236237
0.01999,0.32,1.0074952481781927,0.9903140594052326,-0.17864461629401795
0.01999,0.33,1.0065944090827572,0.9913719640327445,-0.1687127032258516
0.01999,0.34,1.005786033904116,0.9923318662375761,-0.15878231051338645
0.01999,0.35000000000000003,1.0050613915447375,0.9932013909693993,-0.14885326148951714
0.01999,0.36,1.0044122775742148,0.9939878536462231,-0.13892539689024297
0.01999,0.37,1.0038309904606055,0.9946982565559536,-0.12899857330283626
0.01999,0.38,1.0033103052863315,0.9953392891799253,-0.11907266169567782
0.01999,0.39,1.0028434452380481,0.9959173322671502,-0.10914754602710175
0.01999,0.4,1.0024240511558244,0.9964384654706484,-0.0992231219299822
0.01999,0.41000000000000003,1.0020461494200843,0.9969084783442274,-0.08929929546824789
0.01999,0.42,1.0017041184457218,0.9973328844891296,-0.0793759819610092
0.01999,0.43,1.0013926540422253,0.9977169386346898,-0.06945310486952933
0.01999,0.44,1.0011067338871575,0.99806565643504,-0.05953059474186001
0.01999,0.45,1.0008415813485583,0.9983838367644905,-0.04960838820960545
0.01999,0.46,1.0005926288802685,0.9986760862969105,-0.03968642703096148
0.01999,0.47000000000000003,1.0003554812033437,0.9989468461587095,-0.029764657173910997
0.01999,0.48,1.000125878477021,0.9992004204502727,-0.019843027933218543
0.01999,0.49,0.9998996596544724,0.9994410064364214,-0.009921491074688565
0.01999,0.5,0.9996727262120886,0.9996727262120887,1.7763568394002505e-15
0.01999,0.51,0.9994410064364213,0.9998996596544728,0.009921491074692146
0.01999,0.52,0.9992004204502724,1.0001258784770215,0.019843027933222235
0.01999,0.53,0.9989468461587091,1.0003554812033444,0.02976465717391466
0.01999,0.54,0.9986760862969101,1.0005926288802691,0.03968642703096514
0.01999,0.55,0.9983838367644899,1.0008415813485592,0.04960838820960914
0.01999,0.56,0.9980656564350394,1.0011067338871587,0.05953059474186387
0.01999,0.5700000000000001,0.9977169386346891,1.0013926540422267,0.06945310486953304
0.01999,0.58,0.9973328844891289,1.0017041184457232,0.07937598196101273
0.01999,0.59,0.9969084783442266,1.0020461494200859,0.0892992954682515
0.01999,0.6,0.9964384654706476,1.002424051155826,0.09922312192998603
0.01999,0.61,0.9959173322671494,1.0028434452380497,0.10914754602710544
0.01999,0.62,0.9953392891799246,1.0033103052863328,0.1190726616956812
0.01999,0.63,0.9946982565559528,1.003830990460607,0.12899857330283976
0.01999,0.64,0.9939878536462224,1.0044122775742161,0.1389253968902465
0.01999,0.65,0.9932013909693986,1.0050613915447386,0.14885326148952036
0.01999,0.66,0.9923318662375754,1.0057860339041174,0.1587823105133899
0.01999,0.67,0.9913719640327439,1.0065944090827585,0.16871270322585497
0.01999,0.68,0.9903140594052319,1.007495248178194,0.17864461629402126
0.01999,0.6900000000000001,0.9891502255433765,1.0084978299182612,0.1885782454236269
0.01999,0.7000000000000001,0.9878722456369582,1.0096119985321546,0.19851380707959596
0.01999,0.71,0.9864716290254524,1.0108481782506331,0.2084515402922235
0.01999,0.72,0.984939631686035,1.0122173841696607,0.21839170854883055
0.01999,0.73,0.9832672810757663,1.0137312292301088,0.228334601769929
0.01999,0.74,0.9814454052978242,1.0154019270902008,0.23828053836811242
0.01999,0.75,0.9794646665135675,1.0172422906972391,0.24822986738704422
0.01999,0.76,0.9773155984711848,1.019265726400864,0.25818297071706015
0.01999,0.77,0.9749886479684685,1.0214862234915176,0.2681402653830416
0.01999,0.78,0.9724742200126602,1.0239183390946935,0.27810220589936735
0.01999,0.79,0.9697627263852838,1.0265771784034667,0.2880692866859118
0.01999,0.8,0.9668446372653925,1.0294783702882218,0.29804204453825506
0.01999,0.81,0.9637105355117492,1.0326380383826772,0.30802106114449607
0.01999,0.8200000000000001,0.960351173154223,1.0360727678083952,0.31800696564034436
0.01999,0.8300000000000001,0.9567575295981693,1.0397995677650373,0.32800043719350563
0.01999,0.84,0.9529208710038451,1.0438358302795456,0.3380022076077912
0.01999,0.85,0.94883281026699,1.0481992854730964,0.3480130639368783
0.01999,0.86,0.9444853669975133,1.052907953768823,0.35803385109723995
0.01999,0.87,0.9398710268716243,1.0579800955246936,0.36806547446945537
0.01999,0.88,0.9349827997194206,1.0634341586333076,0.37810890247691775
0.01999,0.89,0.9298142757055158,1.0692887246824845,0.3881651691308759
0.01999,0.9,0.9243596789651415,1.0755624543161921,0.3982353765307977
0.01999,0.91,0.9186139180725512,1.0822740324734985,0.4083206973092116
0.01999,0.92,0.9125726327425597,1.0894421142128596,0.41842237701049223
0.01999,0.93,0.9062322361995165,1.0970852718493305,0.42854173639348797
0.01999,0.9400000000000001,0.8995899526906329,1.1052219441425803,0.43868017364845513
0.01999,0.9500000000000001,0.892643849671836,1.1138703882733918,0.44883916651945377
0.01999,0.96,0.8853928642535087,1.123048635335415,0.45902027432417286
0.01999,0.97,0.8778368235597263,1.1327744500472685,0.4692251398640792
0.01999,0.98,0.8699764587268948,1.1430652953578406,0.47945549121881575
0.01999,0.99,0.8618134123448702,1.153938302575254,0.48971314341990224
0.01999,1.0,0.8533502392244166,1.1654102475980892,0.5
0.029980000000000003,0.0,1.2071577763434194,0.8215524484132275,-0.5
0.029980000000000003,0.01,1.1950401400172033,0.8298626014999184,-0.48959063129191316
0.029980000000000003,0.02,1.1834684951652823,0.8379411005669316,-0.47921777367892293
0.029980000000000003,0.03,1.1724278107251291,0.8457856367050788,-0.46887946219992027
0.029980000000000003,0.04,1.1619030667960728,0.853394393898619,-0.45857380839476986
0.029980000000000003,0.05,1.1518792545673329,0.8607660507720969,-0.44829899898379616
0.029980000000000003,0.06,1.1423413789066976,0.8678997800701386,-0.4380532944988689
0.029980000000000003,0.07,1.1332744634112273,0.8747952458832651,-0.42783502786640354
0.029980000000000003,0.08,1.1246635577091868,0.8814525986522277,-0.41764260294305794
0.029980000000000003,0.09,1.116493746791976,0.8878724680024795,-0.4074744930053598
0.029980000000000003,0.1,1.10875016214619,0.8940559534789798,-0.39732923919491586
0.029980000000000003,0.11,1.1014179944493163,0.9000046132693638,-0.387205448921247
0.029980000000000003,0.12,1.0944825075879647,0.9057204510204319,-0.37710179422464746
0.029980000000000003,0.13,1.0879290537550323,0.9112059008687307,-0.36701701010179516
0.029980000000000003,0.14,1.0817430893818465,0.9164638108205542,-0.3569498927971194
0.029980000000000003,0.15,1.0759101916630673,0.921497424629859,-0.3468992980631883
0.029980000000000003,0.16,1.070416075435978,0.9263103623342139,-0.33686413939358195
0.029980000000000003,0.17,1.0652466101816336,0.930906599618917,-0.326843386231893
0.029980000000000003,0.18,1.060387836923128,0.9352904461877046,-0.31683606216061766
0.029980000000000003,0.19,1.0558259848058393,0.9394665233250008,-0.30684124307379845
0.029980000000000003,0.2,1.0515474871557844,0.9434397408393758,-0.2968580553373201
0.029980000000000003,0.21,1.047538996825045,0.9472152735807653,-0.286885673940779
0.029980000000000003,0.22,1.043787400647381,0.9507985377250824,-0.2769233206448079
0.029980000000000003,0.23,1.0402798328425298,0.9541951670191197,-0.26697026212767805
0.029980000000000003,0.24,1.0370036872240436,0.9574109891761766,-0.25702580813490117
0.029980000000000003,0.25,1.0339466280826957,0.9604520026086909,-0.24708930963541093
0.029980000000000003,0.26,1.031096599635272,0.963324353678395,-0.2371601569877434
0.029980000000000003,0.27,1.0284418339467918,0.966034314637261,-0.22723777811944337
0.029980000000000003,0.28,1.0259708572526394,0.9685882624238401,-0.21732163672268934
0.029980000000000003,0.29,1.0236724946256115,0.9709926584696711,-0.20741123046889767
0.029980000000000003,0.3,1.021535872951273,0.9732540296593611,-0.1975060892447937
0.029980000000000003,0.31,1.0195504221931226,0.9753789505758522,-0.18760577341214854
0.029980000000000003,0.32,1.0177058749467682,0.9773740271494415,-0.17770987209308942
0.029980000000000003,0.33,1.0159922642994124,0.9792458818154448,-0.16781800148257106
0.029980000000000003,0.34,1.0143999200274008,0.9810011402711367,-0.1579298031892846
0.029980000000000003,0.35000000000000003,1.0129194631801979,0.98264641990791,-0.14804494260594006
0.029980000000000003,0.36,1.0115417991139233,0.9841883199795993,-0.13816310730954479
0.029980000000000003,0.37,1.0102581090513374,0.9856334135527579,-0.12828400549196123
0.029980000000000003,0.38,1.0090598402579312,0.9869882412694803,-0.11840736442070321
0.029980000000000003,0.39,1.0079386949354174,0.988259306938248,-0.10853292892961286
0.029980000000000003,0.4,1.006886617944481,0.9894530749533603,-0.09866045993874747
0.029980000000000003,0.41000000000000003,1.005895783478026,0.9905759695288897,-0.0887897330025022
0.029980000000000003,0.42,1.0049585808143937,0.9916343757188854,-0.07892053688471612
0.029980000000000003,0.43,1.0040675992870831,0.9926346421817953,-0.06905267215922734
0.029980000000000003,0.44,1.0032156126133853,0.9935830856338944,-0.059185949834098805
0.029980000000000003,0.45,1.002395562729078,0.9944859969239446,-0.0493201899975001
0.029980000000000003,0.46,1.001600543279875,0.9953496486494302,-0.03945522048301764
0.029980000000000003,0.47000000000000003,1.0008237829227729,0.9961803042235794,-0.029590875551978174
0.029980000000000003,0.48,1.0000586285917321,0.9969842282920114,-0.01972699459020691
0.029980000000000003,0.49,0.9992985288823453,0.9977676983883278,-0.009863420816502572
0.029980000000000003,0.5,0.998537017709277,0.9985370177092778,1.8041124150158794e-15
0.029980000000000003,0.51,0.9977676983883269,0.999298528882346,0.009863420816506346
0.029980000000000003,0.52,0.9969842282920105,1.0000586285917328,0.019726994590210573
0.029980000000000003,0.53,0.9961803042235784,1.0008237829227737,0.029590875551981838
0.029980000000000003,0.54,0.9953496486494292,1.0016005432798754,0.0394552204830213
0.029980000000000003,0.55,0.9944859969239435,1.0023955627290784,0.04932018999750379
0.029980000000000003,0.56,0.9935830856338936,1.0032156126133858,0.059185949834102386
0.029980000000000003,0.5700000000000001,0.9926346421817945,1.0040675992870836,0.06905267215923103
0.029980000000000003,0.58,0.9916343757188845,1.0049585808143944,0.07892053688471992
0.029980000000000003,0.59,0.9905759695288887,1.0058957834780267,0.0887897330025059
0.029980000000000003,0.6,0.9894530749533592,1.0068866179444818,0.09866045993875106
0.029980000000000003,0.61,0.988259306938247,1.0079386949354183,0.10853292892961658
0.029980000000000003,0.62,0.9869882412694791,1.009059840257932,0.11840736442070679
0.029980000000000003,0.63,0.9856334135527567,1.0102581090513383,0.12828400549196486
0.029980000000000003,0.64,0.9841883199795983,1.0115417991139244,0.13816310730954826
0.029980000000000003,0.65,0.9826464199079091,1.012919463180199,0.14804494260594342
0.029980000000000003,0.66,0.9810011402711358,1.0143999200274019,0.1579298031892881
0.029980000000000003,0.67,0.9792458818154439,1.0159922642994133,0.1678180014825745
0.029980000000000003,0.68,0.9773740271494407,1.0177058749467687,0.1777098720930926
0.029980000000000003,0.6900000000000001,0.9753789505758514,1.0195504221931229,0.18760577341215198
0.029980000000000003,0.7000000000000001,0.9732540296593605,1.0215358729512731,0.19750608924479693
0.029980000000000003,0.71,0.9709926584696705,1.0236724946256115,0.2074112304689008
0.029980000000000003,0.72,0.9685882624238397,1.0259708572526394,0.21732163672269217
0.029980000000000003,0.73,0.9660343146372606,1.0284418339467918,0.22723777811944632
0.029980000000000003,0.74,0.9633243536783945,1.031096599635272,0.23716015698774642
0.029980000000000003,0.75,0.9604520026086905,1.0339466280826954,0.24708930963541367
0.029980000000000003,0.76,0.9574109891761763,1.0370036872240433,0.2570258081349041
0.029980000000000003,0.77,0.9541951670191194,1.0402798328425293,0.2669702621276808
